insurance_validity,fuel_type,kms_driven,ownsership,transmission,price(in lakhs)
0,0,56000,1,1,63.75
0,0,30615,1,1,8.99
0,1,24000,1,1,23.75
0,0,18378,1,0,13.56
0,0,44900,1,1,24.0
1,0,42000,1,0,5.45
0,0,36739,1,0,5.12
0,0,76000,1,0,9.3
0,1,68000,2,1,42.0
0,0,28783,1,0,8.02
0,0,40000,1,1,10.95
0,0,17382,1,0,8.99
1,1,120000,1,1,7.45
0,0,17000,1,1,10.95
0,0,26867,1,0,5.78
1,0,30000,1,0,8.95
1,1,150000,1,1,8.5
0,1,53000,1,1,23.5
0,0,40000,1,0,7.95
0,0,48000,1,1,18.95
0,1,35000,1,1,35.0
0,0,100525,1,0,2.09
1,0,83000,2,1,6.25
0,0,40191,2,0,2.12
0,1,62152,1,1,20.0
1,0,49000,1,0,8.35
0,0,56215,1,0,5.03
0,0,53000,1,0,6.95
0,1,100000,1,1,16.0
0,0,36346,1,1,15.22
0,1,48000,1,1,26.95
0,0,42098,1,0,6.7
1,1,40000,1,0,10.75
0,1,64000,1,1,25.5
0,0,13158,1,1,8.38
1,1,65400,1,1,10.9
1,0,100000,1,0,3.95
0,2,30000,1,0,7.25
0,1,62000,1,0,4.75
0,0,40000,1,1,11.95
0,1,35000,1,1,35.0
0,0,100525,1,0,2.09
1,0,83000,2,1,6.25
0,0,40191,2,0,2.12
0,1,62152,1,1,20.0
1,0,49000,1,0,8.35
0,0,56215,1,0,5.03
0,0,53000,1,0,6.95
0,1,100000,1,1,16.0
0,0,36346,1,1,15.22
0,1,48000,1,1,26.95
0,0,42098,1,0,6.7
1,1,40000,1,0,10.75
0,1,64000,1,1,25.5
0,0,13158,1,1,8.38
1,1,65400,1,1,10.9
1,0,100000,1,0,3.95
0,2,30000,1,0,7.25
0,1,62000,1,0,4.75
0,0,40000,1,1,11.95
0,0,10280,1,1,16.0
0,0,17282,1,0,5.45
1,0,30500,1,1,22.95
0,1,60755,1,0,13.51
0,0,25000,2,1,40.75
0,1,47000,1,0,14.5
0,0,59316,1,1,13.99
0,0,48000,3,0,6.95
2,0,20000,1,1,65.0
1,0,12503,1,1,5.15
0,0,10000,1,0,15.95
0,0,73717,2,0,2.41
1,1,90000,2,1,32.5
0,0,17000,1,1,5.95
0,0,36047,1,1,4.32
0,2,45000,1,0,4.45
1,1,100000,1,0,2.0
0,0,50000,2,0,3.45
0,0,51000,1,0,5.5
1,1,62000,2,0,8.5
0,0,10280,1,1,16.0
0,0,17282,1,0,5.45
1,0,30500,1,1,22.95
0,1,60755,1,0,13.51
0,0,25000,2,1,40.75
0,1,47000,1,0,14.5
0,0,59316,1,1,13.99
0,0,48000,3,0,6.95
2,0,20000,1,1,65.0
1,0,12503,1,1,5.15
0,0,10000,1,0,15.95
0,0,73717,2,0,2.41
1,1,90000,2,1,32.5
0,0,17000,1,1,5.95
0,0,36047,1,1,4.32
0,2,45000,1,0,4.45
1,1,100000,1,0,2.0
0,0,50000,2,0,3.45
0,0,51000,1,0,5.5
1,1,62000,2,0,8.5
1,0,45000,1,1,22.5
0,0,17041,1,1,10.49
0,1,49000,1,0,9.25
0,0,23588,1,0,9.2
0,1,50000,2,1,22.0
1,1,76000,1,1,14.75
0,0,49341,1,0,5.76
0,0,56000,1,0,3.25
0,0,12000,1,1,21.0
0,0,51734,1,0,5.72
1,0,22000,1,0,5.75
0,1,45084,1,0,9.22
1,1,20000,1,1,11.0
0,0,29000,1,0,4.8
0,0,16763,1,0,9.69
1,0,6000,1,0,6.95
0,1,86000,1,0,5.45
0,0,24000,1,1,6.55
